Legends:
 - P: time periods since still exists and alive the address # 0: 0-1h, 1: 1h-3h, 2: 3h-12h, 3: 12h-24h, 4: 1d-3d, 5: 3d-1w, 6: 1w-1m,  7: 1-3m, 8:>3m
 - CurV: Current Balance of the address (now)
 - MaxV: Max blance in the last 3 months
 - CHG%: diff between current and max(3m) balance
 - 1h%: balance change in the last hour
 - 3h%: balance change in last three hours
 [...] 
 - 3m%: balance change in last three months
--------------------------------------------------------------------------------------------------------------------
                           address P    CurV    MaxV    CHG%     1h%     3h%    12h%     1d%     1w%     1m%     3m%  
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1CPaziTqeEixPoSFtJxu74uDGbpEAotZom 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
 1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1Du2jAQsBQnkkVZkN4oqC46tS78k7WMkVq 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK 8  20.00K  20.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
35fe2CM2zbMeSfhRjpjW8ikTJcZj8NooFD 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
39T3BBsiKxeeu7PebckN8ueb7F84iegoZL 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA 8  10.25K  10.68K   -4.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc 8   9.36K  50.40K  -81.43   -0.00    0.00    0.00    0.00    0.00    0.00    0.00 
